"Population"	"Species"	"env_var"	"lag"	"corr"
"221"	"Port de la Selva"	"Ericaria crinita"	"no3"	6	0.220420096614123
"222"	"Port de la Selva"	"Ericaria crinita"	"nh4"	-6	-0.203912388683774
"223"	"Port de la Selva"	"Ericaria crinita"	"nh4"	-5	-0.181788491018308
"224"	"Port de la Selva"	"Ericaria crinita"	"nh4"	-4	-0.0306986896318303
"225"	"Port de la Selva"	"Ericaria crinita"	"nh4"	-3	0.260428323375904
"226"	"Port de la Selva"	"Ericaria crinita"	"nh4"	-2	0.369619354304214
"227"	"Port de la Selva"	"Ericaria crinita"	"nh4"	-1	0.426540562070084
"228"	"Port de la Selva"	"Ericaria crinita"	"nh4"	0	0.356662760321448
"229"	"Port de la Selva"	"Ericaria crinita"	"nh4"	1	0.0836082677784446
"230"	"Port de la Selva"	"Ericaria crinita"	"nh4"	2	-0.0810461804190324
"231"	"Port de la Selva"	"Ericaria crinita"	"nh4"	3	-0.136803838563079
"232"	"Port de la Selva"	"Ericaria crinita"	"nh4"	4	-0.0654476523305368
"233"	"Port de la Selva"	"Ericaria crinita"	"nh4"	5	0.0381514836159631
"234"	"Port de la Selva"	"Ericaria crinita"	"nh4"	6	0.138327378172452
"235"	"Port de la Selva"	"Gongolaria elegans"	"sst"	-6	-0.0562335989195857
"236"	"Port de la Selva"	"Gongolaria elegans"	"sst"	-5	-0.0489448591638099
"237"	"Port de la Selva"	"Gongolaria elegans"	"sst"	-4	-0.0959247238987739
"238"	"Port de la Selva"	"Gongolaria elegans"	"sst"	-3	-0.212864517164249
"239"	"Port de la Selva"	"Gongolaria elegans"	"sst"	-2	-0.241036499124413
"240"	"Port de la Selva"	"Gongolaria elegans"	"sst"	-1	-0.137516257541282
"241"	"Port de la Selva"	"Gongolaria elegans"	"sst"	0	0.0932513543525745
"242"	"Port de la Selva"	"Gongolaria elegans"	"sst"	1	0.300697261073648
"243"	"Port de la Selva"	"Gongolaria elegans"	"sst"	2	0.375650163365724
"244"	"Port de la Selva"	"Gongolaria elegans"	"sst"	3	0.250344277040394
"245"	"Port de la Selva"	"Gongolaria elegans"	"sst"	4	0.00315958509583007
"246"	"Port de la Selva"	"Gongolaria elegans"	"sst"	5	-0.149256981848869
"247"	"Port de la Selva"	"Gongolaria elegans"	"sst"	6	-0.208537146786413
"248"	"Port de la Selva"	"Gongolaria elegans"	"bot_t"	-6	-1.73875603495818e-05
"249"	"Port de la Selva"	"Gongolaria elegans"	"bot_t"	-5	-0.0642001967550971
"250"	"Port de la Selva"	"Gongolaria elegans"	"bot_t"	-4	-0.107049696184863
"251"	"Port de la Selva"	"Gongolaria elegans"	"bot_t"	-3	-0.24215017276234
"252"	"Port de la Selva"	"Gongolaria elegans"	"bot_t"	-2	-0.221054992017825
"253"	"Port de la Selva"	"Gongolaria elegans"	"bot_t"	-1	-0.11020931129983
"254"	"Port de la Selva"	"Gongolaria elegans"	"bot_t"	0	0.0583517656354108
"255"	"Port de la Selva"	"Gongolaria elegans"	"bot_t"	1	0.315235490759318
"256"	"Port de la Selva"	"Gongolaria elegans"	"bot_t"	2	0.291776929346362
"257"	"Port de la Selva"	"Gongolaria elegans"	"bot_t"	3	0.290140528531868
"258"	"Port de la Selva"	"Gongolaria elegans"	"bot_t"	4	0.0706683732098295
"259"	"Port de la Selva"	"Gongolaria elegans"	"bot_t"	5	-0.120024803430373
"260"	"Port de la Selva"	"Gongolaria elegans"	"bot_t"	6	-0.206412808292623
"261"	"Port de la Selva"	"Gongolaria elegans"	"photoperiod"	-6	-0.233347645820973
"262"	"Port de la Selva"	"Gongolaria elegans"	"photoperiod"	-5	-0.211408383503291
"263"	"Port de la Selva"	"Gongolaria elegans"	"photoperiod"	-4	-0.185760176221454
"264"	"Port de la Selva"	"Gongolaria elegans"	"photoperiod"	-3	-0.100993215081817
"265"	"Port de la Selva"	"Gongolaria elegans"	"photoperiod"	-2	0.0464178988641557
"266"	"Port de la Selva"	"Gongolaria elegans"	"photoperiod"	-1	0.198119283233033
"267"	"Port de la Selva"	"Gongolaria elegans"	"photoperiod"	0	0.328152045344102
"268"	"Port de la Selva"	"Gongolaria elegans"	"photoperiod"	1	0.31242288887723
"269"	"Port de la Selva"	"Gongolaria elegans"	"photoperiod"	2	0.20975392165629
"270"	"Port de la Selva"	"Gongolaria elegans"	"photoperiod"	3	0.0244840319694517
"271"	"Port de la Selva"	"Gongolaria elegans"	"photoperiod"	4	-0.133221927469607
"272"	"Port de la Selva"	"Gongolaria elegans"	"photoperiod"	5	-0.203099429748307
"273"	"Port de la Selva"	"Gongolaria elegans"	"photoperiod"	6	-0.140652975607723
"274"	"Port de la Selva"	"Gongolaria elegans"	"po4"	-6	0.0683861259267646
"275"	"Port de la Selva"	"Gongolaria elegans"	"po4"	-5	0.109233067254033
"276"	"Port de la Selva"	"Gongolaria elegans"	"po4"	-4	0.204721455688276
"277"	"Port de la Selva"	"Gongolaria elegans"	"po4"	-3	0.189960537201943
"278"	"Port de la Selva"	"Gongolaria elegans"	"po4"	-2	0.0908240850797861
"279"	"Port de la Selva"	"Gongolaria elegans"	"po4"	-1	-0.0576501617998377
"280"	"Port de la Selva"	"Gongolaria elegans"	"po4"	0	-0.195419376932482
"281"	"Port de la Selva"	"Gongolaria elegans"	"po4"	1	-0.249443752506474
"282"	"Port de la Selva"	"Gongolaria elegans"	"po4"	2	-0.267449901817197
"283"	"Port de la Selva"	"Gongolaria elegans"	"po4"	3	-0.239458466320012
"284"	"Port de la Selva"	"Gongolaria elegans"	"po4"	4	-0.0354262974338544
"285"	"Port de la Selva"	"Gongolaria elegans"	"po4"	5	0.111290646756804
"286"	"Port de la Selva"	"Gongolaria elegans"	"po4"	6	0.168771310534038
"287"	"Port de la Selva"	"Gongolaria elegans"	"no3"	-6	-0.0756494616738657
"288"	"Port de la Selva"	"Gongolaria elegans"	"no3"	-5	-0.0485813170218751
"289"	"Port de la Selva"	"Gongolaria elegans"	"no3"	-4	0.0583906735728786
"290"	"Port de la Selva"	"Gongolaria elegans"	"no3"	-3	0.0548551207808098
"291"	"Port de la Selva"	"Gongolaria elegans"	"no3"	-2	-0.0505510930517725
"292"	"Port de la Selva"	"Gongolaria elegans"	"no3"	-1	-0.108333033792737
"293"	"Port de la Selva"	"Gongolaria elegans"	"no3"	0	-0.19762728328984
"294"	"Port de la Selva"	"Gongolaria elegans"	"no3"	1	-0.265852663201465
"295"	"Port de la Selva"	"Gongolaria elegans"	"no3"	2	-0.253963303038799
"296"	"Port de la Selva"	"Gongolaria elegans"	"no3"	3	-0.275077430573827
"297"	"Port de la Selva"	"Gongolaria elegans"	"no3"	4	-0.0563575844863716
"298"	"Port de la Selva"	"Gongolaria elegans"	"no3"	5	0.0653154464540729
"299"	"Port de la Selva"	"Gongolaria elegans"	"no3"	6	0.130175145559781
"300"	"Port de la Selva"	"Gongolaria elegans"	"nh4"	-6	-0.150652907721466
"301"	"Port de la Selva"	"Gongolaria elegans"	"nh4"	-5	-0.146889400786403
"302"	"Port de la Selva"	"Gongolaria elegans"	"nh4"	-4	-0.022928515963323
"303"	"Port de la Selva"	"Gongolaria elegans"	"nh4"	-3	0.188233754235899
"304"	"Port de la Selva"	"Gongolaria elegans"	"nh4"	-2	0.130026911948319
"305"	"Port de la Selva"	"Gongolaria elegans"	"nh4"	-1	0.068903456277365
"306"	"Port de la Selva"	"Gongolaria elegans"	"nh4"	0	-0.0732175235227311
"307"	"Port de la Selva"	"Gongolaria elegans"	"nh4"	1	-0.224301859949391
"308"	"Port de la Selva"	"Gongolaria elegans"	"nh4"	2	-0.24075347043067
"309"	"Port de la Selva"	"Gongolaria elegans"	"nh4"	3	-0.243139489318847
"310"	"Port de la Selva"	"Gongolaria elegans"	"nh4"	4	-0.0651037376383632
"311"	"Port de la Selva"	"Gongolaria elegans"	"nh4"	5	0.0342263785442289
"312"	"Port de la Selva"	"Gongolaria elegans"	"nh4"	6	0.0874011765631947
"313"	"Port de la Selva"	"Ericaria mediterranea"	"sst"	-6	0.10434983175344
"314"	"Port de la Selva"	"Ericaria mediterranea"	"sst"	-5	0.20832401727958
"315"	"Port de la Selva"	"Ericaria mediterranea"	"sst"	-4	-0.311641522441854
"316"	"Port de la Selva"	"Ericaria mediterranea"	"sst"	-3	-0.497908557666273
"317"	"Port de la Selva"	"Ericaria mediterranea"	"sst"	-2	-0.203184695755428
"318"	"Port de la Selva"	"Ericaria mediterranea"	"sst"	-1	0.0436156975436879
"319"	"Port de la Selva"	"Ericaria mediterranea"	"sst"	0	0.479058191387138
"320"	"Port de la Selva"	"Ericaria mediterranea"	"sst"	1	0.551200918118067
"321"	"Port de la Selva"	"Ericaria mediterranea"	"sst"	2	0.206164676845251
"322"	"Port de la Selva"	"Ericaria mediterranea"	"sst"	3	-0.158949135423322
