"Population"	"Species"	"Date"	"Month"	"Quadrat"	"Cauloid_size"	"Leaf_size"	"Fertility"	"Stage"	"Subpopulation"	"Year"	"uniq_id"	"lon"	"lat"
"67"	"Cala Estreta"	"Ericaria mediterranea"	2020-02-04	"February"	"8"	7	9	0	"Adult"	"CE"	2020	"CE_med_Feb_20"	3.17561	41.86643
"68"	"Cala Estreta"	"Ericaria mediterranea"	2020-02-04	"February"	"8"	NA	6	0	"Adult"	"CE"	2020	"CE_med_Feb_20"	3.17561	41.86643
"69"	"Cala Estreta"	"Ericaria mediterranea"	2020-02-04	"February"	"8"	6	8	0	"Adult"	"CE"	2020	"CE_med_Feb_20"	3.17561	41.86643
"70"	"Cala Estreta"	"Ericaria mediterranea"	2020-02-04	"February"	"8"	1	1	0	"Adult"	"CE"	2020	"CE_med_Feb_20"	3.17561	41.86643
"71"	"Cala Estreta"	"Ericaria mediterranea"	2020-02-04	"February"	"8"	3	NA	0	"Adult"	"CE"	2020	"CE_med_Feb_20"	3.17561	41.86643
"72"	"Cala Estreta"	"Ericaria mediterranea"	2020-02-04	"February"	"9"	3	3	0	"Adult"	"CE"	2020	"CE_med_Feb_20"	3.17561	41.86643
"73"	"Cala Estreta"	"Ericaria mediterranea"	2020-02-04	"February"	"9"	2	2	0	"Adult"	"CE"	2020	"CE_med_Feb_20"	3.17561	41.86643
"74"	"Cala Estreta"	"Ericaria mediterranea"	2020-02-04	"February"	"9"	3	4	0	"Adult"	"CE"	2020	"CE_med_Feb_20"	3.17561	41.86643
"75"	"Cala Estreta"	"Ericaria mediterranea"	2020-02-04	"February"	"9"	NA	3	0	"Adult"	"CE"	2020	"CE_med_Feb_20"	3.17561	41.86643
"76"	"Cala Estreta"	"Ericaria mediterranea"	2020-02-04	"February"	"9"	2	2	0	"Adult"	"CE"	2020	"CE_med_Feb_20"	3.17561	41.86643
"77"	"Cala Estreta"	"Ericaria mediterranea"	2020-02-04	"February"	"9"	2	2	0	"Adult"	"CE"	2020	"CE_med_Feb_20"	3.17561	41.86643
"78"	"Cala Estreta"	"Ericaria mediterranea"	2020-02-04	"February"	"9"	4	NA	0	"Adult"	"CE"	2020	"CE_med_Feb_20"	3.17561	41.86643
"79"	"Cala Estreta"	"Ericaria mediterranea"	2020-02-04	"February"	"9"	2	3	0	"Adult"	"CE"	2020	"CE_med_Feb_20"	3.17561	41.86643
"80"	"Cala Estreta"	"Ericaria mediterranea"	2020-02-04	"February"	"9"	3	3	0	"Adult"	"CE"	2020	"CE_med_Feb_20"	3.17561	41.86643
"81"	"Cala Estreta"	"Ericaria mediterranea"	2020-02-04	"February"	"9"	NA	4	0	"Adult"	"CE"	2020	"CE_med_Feb_20"	3.17561	41.86643
"82"	"Cala Estreta"	"Ericaria mediterranea"	2020-02-04	"February"	"9"	6	NA	0	"Adult"	"CE"	2020	"CE_med_Feb_20"	3.17561	41.86643
"83"	"Cala Estreta"	"Ericaria mediterranea"	2020-02-04	"February"	"9"	2	2	0	"Adult"	"CE"	2020	"CE_med_Feb_20"	3.17561	41.86643
"84"	"Cala Estreta"	"Ericaria mediterranea"	2020-02-04	"February"	"10"	3	4	0	"Adult"	"CE"	2020	"CE_med_Feb_20"	3.17561	41.86643
"85"	"Cala Estreta"	"Ericaria mediterranea"	2020-02-04	"February"	"10"	5	7	0	"Adult"	"CE"	2020	"CE_med_Feb_20"	3.17561	41.86643
"86"	"Cala Estreta"	"Ericaria mediterranea"	2020-02-04	"February"	"10"	1	3	0	"Adult"	"CE"	2020	"CE_med_Feb_20"	3.17561	41.86643
"87"	"Cala Estreta"	"Ericaria mediterranea"	2020-02-04	"February"	"10"	3	5	0	"Adult"	"CE"	2020	"CE_med_Feb_20"	3.17561	41.86643
"88"	"Cala Estreta"	"Ericaria mediterranea"	2020-02-04	"February"	"10"	2	3	0	"Adult"	"CE"	2020	"CE_med_Feb_20"	3.17561	41.86643
"89"	"Cala Estreta"	"Ericaria mediterranea"	2020-02-04	"February"	"10"	4	6	0	"Adult"	"CE"	2020	"CE_med_Feb_20"	3.17561	41.86643
"90"	"Cala Estreta"	"Ericaria mediterranea"	2020-02-04	"February"	"10"	3	5	0	"Adult"	"CE"	2020	"CE_med_Feb_20"	3.17561	41.86643
"91"	"Cala Estreta"	"Ericaria mediterranea"	2020-02-04	"February"	"10"	8	9	0	"Adult"	"CE"	2020	"CE_med_Feb_20"	3.17561	41.86643
"92"	"Cala Estreta"	"Ericaria mediterranea"	2020-02-04	"February"	"10"	2	5	0	"Adult"	"CE"	2020	"CE_med_Feb_20"	3.17561	41.86643
"93"	"Cala Estreta"	"Ericaria mediterranea"	2020-02-04	"February"	"10"	7	9	0	"Adult"	"CE"	2020	"CE_med_Feb_20"	3.17561	41.86643
"94"	"Cala Estreta"	"Ericaria mediterranea"	2020-02-04	"February"	"10"	4	6	0	"Adult"	"CE"	2020	"CE_med_Feb_20"	3.17561	41.86643
"95"	"Cala Estreta"	"Ericaria mediterranea"	2020-02-04	"February"	"11"	4	6	0	"Adult"	"CE"	2020	"CE_med_Feb_20"	3.17561	41.86643
"96"	"Cala Estreta"	"Ericaria mediterranea"	2020-02-04	"February"	"11"	5	6	0	"Adult"	"CE"	2020	"CE_med_Feb_20"	3.17561	41.86643
"97"	"Cala Estreta"	"Ericaria mediterranea"	2020-02-04	"February"	"11"	3	4	0	"Adult"	"CE"	2020	"CE_med_Feb_20"	3.17561	41.86643
"98"	"Cala Estreta"	"Ericaria mediterranea"	2020-02-04	"February"	"11"	5	7	0	"Adult"	"CE"	2020	"CE_med_Feb_20"	3.17561	41.86643
"99"	"Cala Estreta"	"Ericaria mediterranea"	2020-02-04	"February"	"11"	5	6	0	"Adult"	"CE"	2020	"CE_med_Feb_20"	3.17561	41.86643
"100"	"Cala Estreta"	"Ericaria mediterranea"	2020-02-04	"February"	"11"	5	6	0	"Adult"	"CE"	2020	"CE_med_Feb_20"	3.17561	41.86643
"101"	"Cala Estreta"	"Ericaria mediterranea"	2020-02-04	"February"	"11"	4	5	0	"Adult"	"CE"	2020	"CE_med_Feb_20"	3.17561	41.86643
"102"	"Cala Estreta"	"Ericaria mediterranea"	2020-02-04	"February"	"11"	1	4	0	"Adult"	"CE"	2020	"CE_med_Feb_20"	3.17561	41.86643
"103"	"Cala Estreta"	"Ericaria mediterranea"	2020-02-04	"February"	"11"	2	3	0	"Adult"	"CE"	2020	"CE_med_Feb_20"	3.17561	41.86643
"104"	"Port de la Selva"	"Ericaria mediterranea"	2020-03-12	"March"	"1"	6	16	0	"Adult"	"CE"	2020	"CE_med_Mar_20"	3.185744	42.346378
"105"	"Port de la Selva"	"Ericaria mediterranea"	2020-03-12	"March"	"1"	8	14	0	"Adult"	"CE"	2020	"CE_med_Mar_20"	3.185744	42.346378
"106"	"Port de la Selva"	"Ericaria mediterranea"	2020-03-12	"March"	"1"	2	7	0	"Adult"	"CE"	2020	"CE_med_Mar_20"	3.185744	42.346378
"107"	"Port de la Selva"	"Ericaria mediterranea"	2020-03-12	"March"	"1"	4	10	0	"Adult"	"CE"	2020	"CE_med_Mar_20"	3.185744	42.346378
"108"	"Port de la Selva"	"Ericaria mediterranea"	2020-03-12	"March"	"1"	2	6	0	"Adult"	"CE"	2020	"CE_med_Mar_20"	3.185744	42.346378
"109"	"Port de la Selva"	"Ericaria mediterranea"	2020-03-12	"March"	"1"	7	17	0	"Adult"	"CE"	2020	"CE_med_Mar_20"	3.185744	42.346378
"110"	"Port de la Selva"	"Ericaria mediterranea"	2020-03-12	"March"	"1"	7	13	0	"Adult"	"CE"	2020	"CE_med_Mar_20"	3.185744	42.346378
"111"	"Port de la Selva"	"Ericaria mediterranea"	2020-03-12	"March"	"1"	9	14	0	"Adult"	"CE"	2020	"CE_med_Mar_20"	3.185744	42.346378
